id,claim,rating,image_url,permalink,publish_date,keyword,important_tweet_id
1,"A photograph showing a teenager in a ""stay clear boys"" shirt and a second image of a pregnant woman feature the same person.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-the-same-person.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/joke-daughter.jpg?w=720 720w']",https://www.snopes.com/fact-check/teenage-daughter-shirt-pregnant/,2018-07-17T14:37:03+00:00,teenage daughter shirt pregnant,
2,A photograph shows accused Russian spy Mariia Butina in an Oval Office meeting with President Trump.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-maria-butina.jpg?w=738 738w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/butina-collage.jpg?w=602 602w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cari-lutkins.jpg?w=600 600w']",https://www.snopes.com/fact-check/accused-russian-spy-mariia-butina-photographed-oval-office/,2018-07-17T08:51:36+00:00,russian mariia butina oval office,1.01921E+18
4,A photograph documents a scary moment when a bear got dangerously close to an oblivious fisherman.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/bear-photoshop.jpg?w=1539 1539w'],https://www.snopes.com/fact-check/bear-attack-photo/,2018-07-12T13:01:00+00:00,bear attack fisherman,
5,"A photograph shows a ""cow crusher,"" a device designed to literally crush cows.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cow-crusher-maybe.jpg?w=443 443w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cattle-turnover-crate.jpg?w=1100 1100w']",https://www.snopes.com/fact-check/image-of-cow-crusher-device/,2018-07-12T10:21:03+00:00,Cow Crusher,
6,"Photographs show cars that started to ""melt"" due to extremely hot weather in Arizona.",miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melting-cars.jpg?w=1002 1002w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melted-elantra.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/cars-melting-in-arizona-heat-wave/,2018-07-10T10:59:26+00:00,heatwave car melt Arizona,
8,A photograph shows an optical illusion on the floor of a school hallway that was designed to prevent children from running.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/optical-illusion-hallway.jpg?w=736 736w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/tile-hallway.jpg?w=1624 1624w']",https://www.snopes.com/fact-check/hallway-stop-running/,2018-07-07T08:24:25+00:00,optical illusion hallway,
9,"A photograph shows Gareth Southgate wearing a waistcoat with the words ""It's Coming Home"" repeatedly written on it.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/Gareth-Southgate.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/gareth-southgate.jpg?w=1743 1743w']",https://www.snopes.com/fact-check/gareth-southgate-waistcoat/,2018-07-06T10:43:03+00:00,gareth southgate waistcoat,
10,A photograph shows an octopus that fell from the sky in China during a storm.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fallen-from-the-sky.jpg?w=591 591w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/chinese-shrimp.jpg?w=550 550w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fake.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/octopus-fall-sky-china/,2018-07-05T07:42:45+00:00,octopus fall sky china,
11,"A photograph shows two girls wearing ""Fuck Trump"" shirts.",unproven,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/denver-protest.jpg?w=506 506w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/fb-photos.jpg?w=1002 1002w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/fuck-trump-collage.jpg?w=600 600w']",https://www.snopes.com/fact-check/girls-trump-tshirts-rally/,2018-07-03T11:39:53+00:00,girls fuck trump shirt,
12,"A photograph shows a bag of sugar bearing a ""sugar free"" label.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-free-sugar.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/publix-bag.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-equation.jpg?w=602 602w']",https://www.snopes.com/fact-check/sugar-free-sugar/,2018-07-02T16:35:10+00:00,Sugar Free Sugar Bag ,
13,"""Liberal"" protesters carried a banner calling for Republicans to be assassinated.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/15107458_1164401370261562_5653070303901265587_n.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/09689f5d1930a11b3953bdd197b263b4-768x644.jpg?resize=768']",https://www.snopes.com/fact-check/trump-protesters-assassinate-republicans/,2018-06-26T11:22:10+00:00,trump protesters assassinate republican,
14,"A child was expelled from elementary school for wearing a Donald Trump costume on ""Superhero Day.""",FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/basil-karlo.jpg?w=500 500w'],https://www.snopes.com/fact-check/was-child-expelled-trump-costume/,2018-06-25T13:07:11+00:00,child expel trump costume,
16,"A photograph shows a group of ""Democrat party supporters"" protesting in the United States.",FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-america.png?w=883 883w'],https://www.snopes.com/fact-check/are-these-women-protesting-trump/,2018-06-25T10:25:22+00:00,nude women protesting trump,
17,The king of the Netherlands tweeted that the International Court of Justice in the Hague is ready and waiting for Donald Trump.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-king-of-the-netherlands.jpg?w=605 605w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/Wiiiem-alexander.jpg?w=600 600w']",https://www.snopes.com/fact-check/did-king-tell-trump-hague/,2018-06-22T11:40:55+00:00,netherlands king trump court,
18,"A photograph shows a group holding a protest sign reading ""Obama don't separate me from my mommy.""",miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama-cages.jpg?w=734 734w'],https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/,2018-06-21T16:28:28+00:00,obama dont separate mommy protest,
19,"First Lady Melania Trump wore a jacket with ""I DON'T REALLY CARE DO U?"" emblazoned on the back on her way to visit immigrant kids.",TRUE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/i-dont-really-care-do-u.jpg?resize=821'],https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/,2018-06-21T13:27:59+00:00,melania trump jacket CARE DO U,
20,An image from 2014 shows undocumented children separated from their parents by the Obama administration.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/2014-obama-separated-kids.jpg?w=909 909w'],https://www.snopes.com/fact-check/are-these-children-separated-by-obama/,2018-06-21T12:00:28+00:00,undocumented children separated parents Obama ,
